epoch,rmse
1,0.837704921407359
2,0.42109938480314757
3,0.32971381750844775
4,0.28786090300196693
5,0.2632726559504157
6,0.2471236004715874
7,0.23619482879127776
8,0.22739870118952932
9,0.21935245767235756
10,0.21254325950784342
