epoch,rmse
1,1.5039254637325512
2,0.688216309337055
3,0.5764623512240017
4,0.47535310335019054
5,0.3860404289820615
6,0.3303119180833592
7,0.2978110471192528
8,0.2728939792689155
9,0.25278323143720627
10,0.23640345080810435
11,0.22268604706315434
12,0.21251467308577368
13,0.20425526797771454
14,0.19721831644282622
15,0.191930890083313
16,0.1874264798620168
17,0.1836537902846056
18,0.1801164746284485
19,0.17687816961723216
20,0.1742204791482757
21,0.17174985698040793
22,0.16915039104573867
23,0.1673505030134145
24,0.16572301703340866
25,0.16394930245245204
26,0.1624215578331667
27,0.1611542447524912
28,0.15939618208829096
29,0.15854930833858602
30,0.15734877831795635
31,0.1559909867013202
32,0.15529846794465008
33,0.15385359306545818
34,0.15370828658342361
35,0.15235805862090168
36,0.15190698250251658
37,0.15066816350992987
38,0.1502586725880118
39,0.14939331876880982
40,0.148819683229222
41,0.14818351365187588
42,0.14771118365666447
43,0.14749855591970332
44,0.14667201699579463
45,0.1462757359532749
46,0.14565311854376511
47,0.14532790289205663
48,0.14476683472885804
49,0.14442107256721048
50,0.14397389134939978
51,0.14355054892161312
52,0.14325994121677735
53,0.1427858590203173
54,0.14258391147150712
55,0.1422993102494408
56,0.1416964754462242
57,0.1413321481908069
58,0.14150763522176182
59,0.14081754228648016
60,0.14051065155688455
61,0.14026503133423188
62,0.139990557642544
63,0.1396152039661127
64,0.13964402412666993
65,0.13928098757477367
66,0.13903722254668965
67,0.13887101630954182
68,0.1388040965094286
69,0.13842216835302465
70,0.13801322965060964
71,0.13791511602261486
72,0.1377604901790619
73,0.13755784665837006
74,0.13717414000455072
75,0.13704032845356884
76,0.1370003986008027
77,0.1367342323064804
78,0.1366841459975523
79,0.13646671614226172
80,0.13619323074817657
81,0.1361022709923632
82,0.1360034473678645
83,0.13590778235126943
84,0.13573911041021347
85,0.1353481420699288
86,0.1351668186047498
87,0.13505648514803717
88,0.1349978407516199
89,0.13484696167356827
90,0.13464858119978623
91,0.13465510308742523
92,0.1346224892665358
93,0.13415568278116338
94,0.13416342831709804
95,0.1340405971688383
96,0.13399131157818964
97,0.13377024671610663
